conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1965720978492952986,Wed Sep 10 10:16:17 +0000 2025,20,Ambillah iktibar dari Negara Negara yang hancur karena seringnya mengabaikan tuntutan rakyat PESAN UNTUK SELURUH KARYAWAN RI YG DITUGASKAN RAKYAT UNTUK MENGELOLA NEGERI INI. Menteri2 para Pejabat Para Angota Dewan kalian2 pada gak mau kan dikejar2 dan digebugin rakyat https://t.co/HDEgQ71fCh,1965720978492952986,https://pbs.twimg.com/ext_tw_video_thumb/1965720923363000321/pu/img/609mpA2nq3e28YtL.jpg,,in,,1,3,7,https://x.com/undefined/status/1965720978492952986,1541718298190290946,
1966145518167535945,Thu Sep 11 14:23:15 +0000 2025,14,Agus Setiawan meyakini bahwa untuk mengawal tuntutan 17+8 dengan baik mahasiswa dan masyarakat salah satunya bisa dengan berpartisipasi dalam media sosial agar tuntutan-tuntutan tersebut bisa sampai secara baik setujukah kamu? #17+8 #Demonstrasi #MetroTVKontroversi #MetroTV https://t.co/S4W0h8m5z3,1966145518167535945,https://pbs.twimg.com/ext_tw_video_thumb/1966145434071740425/pu/img/8nIBoWHpcPS2kdKp.jpg,,in,,0,1,1,https://x.com/undefined/status/1966145518167535945,57261519,
1965759375513162019,Wed Sep 10 12:48:51 +0000 2025,0,Sebagian 17+8 tuntutan rakyat sudah ada yg dipenuhi tetapi Apa kabar UU PERAMPASAN ASET ??? Jika benar DPR benar-benar berpihak kepada rakyat maka seharusnya tidak ada alasan untuk terus menunda RUU PERAMPASAN ASET . https://t.co/Q3oiwIKhXa,1965759375513162019,https://pbs.twimg.com/amplify_video_thumb/1965759229551407104/img/JV31w2lZFNGZcQoM.jpg,,in,,0,0,0,https://x.com/undefined/status/1965759375513162019,1963852965175021568,
1967037974971109397,Sun Sep 14 01:29:33 +0000 2025,2343,Anggota Kolektif 17+8 Indonesia Berbenah Andhyta F. Utami menjelaskan latar belakang penyusunan tuntutan 17+8. #TempoHarian #TempoPlus https://t.co/Bp3SP5ypjT,1967037974971109397,https://pbs.twimg.com/media/G0xSABXb0AAuxDT.jpg,,in,,742,147,531,https://x.com/undefined/status/1967037974971109397,18129942,
1965608459145281989,Wed Sep 10 02:49:10 +0000 2025,103,GAGAL..! Mahasiswa menilai kinerja DPR soal 17+8 tuntutan rakyat https://t.co/hNyyEcvfe8,1965608459145281989,https://pbs.twimg.com/amplify_video_thumb/1965607432245452800/img/oXTGcVsMJi5uOnN2.jpg,,in,,3,5,51,https://x.com/undefined/status/1965608459145281989,1159475566069731331,
1965650030397903213,Wed Sep 10 05:34:21 +0000 2025,0,Konsepnya 17+8 tuntutan rakyat banget. Sukaaaaa #YEONJUN https://t.co/S4lnBtIf95,1965650030397903213,https://pbs.twimg.com/media/G0dkSAlaYAA1NDF.jpg,,in,,0,0,0,https://x.com/undefined/status/1965650030397903213,1069753156949565440,
1965614153739223049,Wed Sep 10 03:11:48 +0000 2025,1,Dewan Perwakilan Rakyat (DPR) RI akhirnya merespons tuntutan publik yang dikenal sebagai '17+8 Tuntutan Rakyat' dengan mengambil langkah-langkah konkret. https://t.co/8Zvez4UmBM,1965614153739223049,https://pbs.twimg.com/ext_tw_video_thumb/1965613770098794496/pu/img/o4_ExElKK4S6fH_5.jpg,,in,,0,0,0,https://x.com/undefined/status/1965614153739223049,1841616625407295489,
1966030195413959124,Thu Sep 11 06:45:00 +0000 2025,815,Kegagalan Pemerintah Merespons Tuntutan 17+8 #KolomTempo https://t.co/NlGxJbInPV,1966030195413959124,,,in,,2,10,353,https://x.com/undefined/status/1966030195413959124,18129942,
1965754572129042810,Wed Sep 10 12:29:46 +0000 2025,24,Kalau kamu ditanya berapa nilai kinerja DPR soal 17+8 tuntutan rakyat apa jawabanmu? Coba komen di bawah ya! Kreatif: Rega Almuhtada Produser: Yuna Fikry #Demo #DPR #Mahasiswa #liputan https://t.co/paAWCE1Flv,1965754572129042810,https://pbs.twimg.com/amplify_video_thumb/1965753931629551616/img/OxjrQL1XCdGcm7C0.jpg,,in,,0,5,10,https://x.com/undefined/status/1965754572129042810,23343960,
1966774181800059196,Sun Sep 14 07:51:29 +0000 2025,22,She also reposted 17+8 tuntutan rakyat as well HIDUP PEREMPUAN YANG MELAWANNN https://t.co/hKXDM0HdNG,1967134091771605406,https://pbs.twimg.com/media/G0yqB-JbcAAtphP.jpg,jiachaen,in,,0,0,0,https://x.com/undefined/status/1967134091771605406,1313387319580270592,
